word	frequency
bir	9357
ki	6980
dedi	4568
bu	4335
də	3218
o	2678
i	2510
da	2356
nə	2242
gördü	2062
mən	2025
padşah	1614
qız	1583
elə	1467
kimi	1438
gün	1383
var	1308
gəldi	1294
sən	1227
gəlib	1215
sonra	1169
mənim	1036
oğlan	1003
getdi	968
oldu	930
heç	930
qızı	887
qədər	884
hər	875
xanım	866
onu	862
vəzir	852
çox	850
yanına	826
öz	822
az	811
padşahın	795
onun	770
elədi	754
biri	742
ona	731
məni	720
gedib	712
idi	697
yerə	686
götürüb	675
verdi	671
amma	668
sənin	665
saat	654
düşdü	651
sənə	639
xəbər	639
çıxdı	634
ay	627
tez	625
məlik	601
mənə	592
brahim	588
səni	582
kişi	572
olsun	571
başladı	553
iki	546
belə	529
bı	527
şah	525
yenə	511
arvad	508
ilə	500
məhəmməd	498
ey	498
oğlu	494
qarı	493
qızın	480
başına	475
adam	471
olub	466
gərək	465
qardaş	465
üç	462
gəl	455
burda	450
gecə	446
deyir	441
dərviş	439
at	436
bunu	434
yoxdu	426
ndi	425
çıxıb	422
durub	421
keçəl	416
yox	408
əhməd	400
özü	398
gəlir	396
qoydu	396
özünü	394
yola	392
böyük	390
get	384
qırx	382
qara	379
baxıb	364
neçə	360
yaxşı	360
razı	353
dev	348
alıb	346
qabağına	345
axırda	345
yol	343
su	339
aldı	339
yeddi	328
evə	326
səhər	324
və	323
əl	320
sağ	319
qızıl	318
üçün	314
bəli	309
eləyib	308
bütün	308
tutub	307
həmin	305
verib	304
niyə	304
indi	302
sora	298
bunun	297
paçcah	297
onda	284
əhvalatı	283
əmr	283
bunlar	281
gördülər	280
başını	280
necə	275
qoca	275
çəkib	273
qaldı	272
ver	272
əgər	272
saldı	268
baxdı	267
dəfə	266
getdilər	264
qoyub	264
bəs	263
padşaha	260
gətirdi	259
quş	259
içəri	258
düz	258
biz	256
tacir	256
verim	255
şəhərə	253
görüm	250
həmən	248
kim	248
düşüb	246
de	246
üstünə	244
istədi	244
yerdə	243
gəldilər	239
açıb	239
soruşdu	233
gözəl	232
ata	231
deyil	230
atı	228
lap	227
girdi	227
baş	225
yanında	224
cavab	224
bura	224
axşam	222
vəzirin	222
şey	221
atdı	221
tülkü	219
div	219
oturub	218
olan	217
ancaq	216
odu	216
üstündə	213
vaxt	213
üstə	212
görən	211
evinə	211
siman	211
oğul	210
buna	209
qoşun	209
çatdı	208
atın	207
sabah	207
söz	206
ya	204
arvadı	202
dedilər	201
birdən	201
çağırıb	200
keçdi	199
deyib	196
vurdu	195
apardı	195
ondan	193
hara	193
götürdü	193
genə	192
çoban	191
minib	191
padşahının	191
özünə	189
bil	189
olar	188
durdu	186
on	186
onlar	186
tamam	186
ağ	186
pəri	186
salıb	184
başladılar	184
getməyə	183
aparıb	181
anası	181
qıza	181
yerinə	179
görüb	179
qapını	179
padşahı	179
tərəfdən	178
gətirib	178
içində	178
vardı	177
qızını	177
kiçik	177
bilmədi	176
görə	174
toy	173
görək	171
ta	171
mələk	171
elədilər	170
vurub	169
çəkdi	169
üz	169
gətirdilər	169
xanımın	169
gördüm	168
hamısı	167
bizim	166
sizə	166
gedək	164
gələn	164
tapdıq	162
özün	159
görür	158
geri	158
qalıb	157
qılıncı	157
al	156
iş	155
qayıtdı	155
min	155
oğlanı	155
ilan	155
qılınc	155
ol	153
gedir	153
yetirdi	153
şəmsi	153
yana	152
başı	152
fikir	150
alma	150
yer	150
olur	149
şəhərin	149
allah	148
tərəfə	148
atıb	148
siz	147
imiş	147
tərəf	147
ayağa	146
xəbəri	146
daha	145
