word	frequency
bir</w>	9551
ki</w>	7304
i</w>	5312
də</w>	5249
m	4939
a</w>	4583
dedi</w>	4568
da</w>	4430
bu</w>	4369
s	4160
ı</w>	4147
ç	4035
n	3705
t	3655
b	3547
k	3474
ə</w>	3372
in</w>	3358
ın</w>	3343
c	3319
</w>	3179
nə</w>	3173
-	3119
di</w>	2943
ş	2925
y	2915
dən</w>	2900
p	2852
i	2766
o</w>	2723
dı</w>	2691
dan</w>	2684
sən</w>	2661
r	2654
l	2593
h	2464
v	2403
q	2346
əl	2317
x	2284
mə	2284
d	2276
an	2247
də	2232
at	2224
mən</w>	2205
z	2196
ar	2151
a	2142
ıb</w>	2099
f	2071
u	2069
gördü</w>	2062
an</w>	2044
ay	1911
lar</w>	1831
in	1829
ir</w>	1817
ir	1801
al	1792
da	1729
ər	1688
lə	1678
ına</w>	1649
r</w>	1644
padşah</w>	1614
ə	1612
ib</w>	1596
ını</w>	1596
qız</w>	1593
la	1578
ır	1572
ət	1563
ağ	1547
inə</w>	1547
sə	1514
ır</w>	1483
elə</w>	1476
ının</w>	1462
var</w>	1457
m</w>	1451
ini</w>	1447
kimi</w>	1447
baş	1441
ba	1436
di	1414
gün</w>	1395
iş	1389
ən	1389
u</w>	1384
k</w>	1345
lər</w>	1340
o	1312
gəldi</w>	1296
bi	1286
ur	1280
ı	1258
e	1256
d</w>	1252
as	1240
gəl	1222
un</w>	1220
gəlib</w>	1215
ol	1213
ü	1199
nən</w>	1196
ye	1194
ver	1192
dər	1192
g	1191
sonra</w>	1169
im</w>	1164
ları</w>	1162
ıl	1152
am</w>	1142
ım</w>	1142
az</w>	1140
dılar</w>	1140
il	1132
hər</w>	1119
qız	1111
du</w>	1107
qa	1105
san</w>	1099
əm	1090
tap	1083
ar</w>	1082
nə	1077
am	1060
ad	1059
oğlan</w>	1042
mənim</w>	1040
ında</w>	1037
ğ	1035
dey	1032
çıx	1027
qal	1024
im	1022
bağ	1011
aq</w>	1011
aq	1004
bir	1002
keç	998
iy	992
dilər</w>	991
gün	978
lar	977
n</w>	977
