word	frequency
bir	10979
ki	8246
bu	5098
dedi	5075
də	4075
o	3705
i	3037
da	2894
nə	2745
mən	2703
gördü	2252
və	1950
kimi	1820
elə	1818
qız	1746
sən	1696
padşah	1664
gün	1568
gəldi	1535
sonra	1509
var	1476
gəlib	1408
mənim	1349
onun	1304
heç	1292
onu	1263
çox	1199
oğlan	1185
getdi	1172
ona	1137
oldu	1103
öz	1084
hər	1077
idi	1047
yanına	1022
qədər	1000
verdi	977
qızı	972
az	956
məni	903
sənin	900
yerə	889
xanım	876
elədi	865
vəzir	865
biri	861
amma	840
ilə	840
başladı	837
padşahın	831
düşdü	812
ay	795
belə	785
götürüb	785
sənə	783
gedib	780
çıxdı	779
mənə	761
saat	731
səni	723
tez	719
deyə	691
iki	690
xəbər	688
üçün	650
olsun	649
yenə	636
kişi	616
məlik	601
isə	598
üç	596
oğlu	591
ey	591
brahim	588
şah	585
qarı	578
yox	576
böyük	575
arvad	569
başına	550
ndi	541
adam	540
gəl	539
at	535
qardaş	529
bı	527
bunu	524
olub	521
qızın	520
özü	519
bütün	518
yaxşı	506
məhəmməd	502
gərək	501
çıxıb	498
ancaq	496
gecə	489
onlar	487
özünü	478
yola	475
burda	473
cavab	464
deyir	457
yoxdu	451
dəfə	451
qoydu	449
gəlir	444
durub	442
evə	440
get	440
dərviş	440
necə	439
həmin	437
neçə	433
onda	428
soruşdu	424
baxıb	420
keçəl	420
qızıl	419
qara	419
yol	417
su	414
qoca	414
aldı	402
əhməd	400
əgər	395
qırx	389
axırda	387
indi	382
alıb	380
razı	374
niyə	370
bəs	366
qabağına	365
əl	365
vaxt	365
səhər	362
yeddi	362
sağ	361
biz	356
tutub	355
əmr	354
başını	348
dev	348
üstünə	347
bunun	342
görə	341
verib	340
saldı	331
kim	327
qaldı	323
bəli	322
getdilər	319
olan	319
gözəl	317
ver	317
lap	312
eləyib	312
gördülər	309
gətirdi	309
tülkü	307
ata	307
ondan	306
baxdı	306
yerdə	303
bunlar	302
əhvalatı	302
qoyub	300
birdən	300
düz	299
deyil	299
sora	298
şey	297
paçcah	297
yanında	296
baş	296
quş	296
istədi	296
arvadı	291
şəhərə	290
çəkib	289
vardı	288
görüm	286
de	284
tacir	284
bura	283
gəldilər	282
buna	282
içəri	281
atdı	280
oturub	280
evinə	276
üstündə	276
daha	273
düşüb	270
açıb	268
padşaha	267
ya	266
girdi	264
başladılar	263
çatdı	261
verim	261
keçdi	261
söz	260
axşam	258
özünə	256
olar	255
çoban	252
görən	250
div	250
atı	249
həmən	248
görüb	246
onların	244
yerinə	244
oğul	243
etdi	243
kiçik	243
anası	242
hara	240
çəkdi	240
üstə	238
içində	236
atın	236
ol	235
bizim	234
vurdu	233
apardı	233
on	232
bilmədi	232
deyib	230
götürdü	230
yer	230
dedilər	227
bil	227
sabah	226
vəzirin	224
burada	223
odu	223
ağ	222
başqa	221
qoy	218
qoşun	217
gələn	217
geri	211
siman	211
gətirib	209
qayıtdı	209
çağırıb	209
sizə	208
tamam	207
siz	206
görək	205
bərk	203
xan	203
üz	202
salıb	201
bax	200
minib	200
aparıb	199
başa	199
padşahı	199
qıza	198
onları	198
qızını	197
qapını	196
padşahının	196
getməyə	194
tərəfdən	192
iş	192
toy	192
genə	192
durdu	191
hamısı	190
ilan	190
tutdu	189
qalıb	188
günü	187
əlindən	187
min	187
rüstəm	187
gedək	186
pul	186
elədilər	186
tərəf	186
pəri	186
başı	182
özün	182
vurub	181
şahzadə	180
gətirdilər	179
dalınca	178
öz-özünə	177
gördüm	176
tərəfə	175
balaca	175
onlara	174
gedir	174
xanımın	174
bəlkə	173
al	171
olur	171
beş	171
ta	171
mələk	171
yetirdi	170
ev	169
əlinə	168
oğlanı	168
görür	167
hamısını	167
hamı	167
hələ	167
atıb	167
qılıncı	166
tapdıq	166
qılınc	164
yüz	163
ayağa	162
şəhərin	162
göndərdi	162
imiş	162
xəbəri	162
qulaq	161
günlərin	160
bundan	160
allah	160
bircə	160
yedi	159
bala	159
yana	158
rast	158
eşidən	158
xeyli	157
fikir	157
pəhləvan	157
olsa	156
göy	156
gör	156
çörək	156
atasının	155
içinə	154
oğlunun	154
əjdaha	154
oturdu	153
kəs	153
şəmsi	153
alma	152
hazır	152
edib	152
daş	152
bunları	150
nağıl	150
ana	150
qayıdıb	150
orda	149
qazı	149
olmaz	148
sözü	148
əlini	148
qurd	147
qalxdı	147
xanımı	147
cavan	147
qardaşlar	147
yoxsa	146
gətir	146
açdı	146
yolda	145
axı	145
oğlunu	145
atası	145
nuşapəri	144
il	143
oğlanın	143
ağacın	143
ağa	142
qabağında	142
abbas	142
edir	141
budu	141
çıxartdı	141
danışdı	141
evdə	141
ovçu	141
yəqin	140
əhmədi	140
həmişə	139
atını	139
qızım	139
göyə	139
qaçdı	138
əlində	138
quyuya	137
istəyir	137
quyunun	137
qoyun	136
tapıb	135
filan	135
bunların	135
qonaq	135
girib	135
daşı	135
düşdülər	134
verir	134
məndən	133
başında	133
gedim	133
bacı	133
bizi	132
səndən	132
yoxdur	132
həm	131
brahimin	131
tapa	131
çıxdılar	130
apar	130
ora	130
soltan	130
üzünü	129
qibleyi-aləm	129
bildi	129
açıldı	128
çağırdı	128
bizə	128
ha	128
birini	128
üzünə	128
gedəndən	127
ceyran	127
evlərinə	127
padişah	127
gündən	127
nədi	127
qarının	127
ayı	127
ağac	126
bilmirəm	125
çatdılar	125
adamlar	125
yemək	125
oğluna	124
çıxardıb	124
nənə	124
brahimi	123
sarı	123
dünyada	122
skəndər	122
verdilər	121
uşağı	121
istəyirəm	121
hatəm	121
yeyib	120
təhər	120
vəziri	120
xörək	119
quşu	119
meşəyə	119
lazım	119
qurbağa	119
tufan	118
aşağı	118
cür	118
hardan	118
istəyirsən	117
suya	117
gündə	117
olmadı	117
əli	117
müddət	117
yuxarı	116
gələndə	115
şəhərdə	115
göz	115
boynunu	115
bəxtiyar	115
daşdəmir	115
altında	114
